Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63555e04f815f265173741ae,5e39068e0e532411b2adaa7b,AWAITING REVIEW,2022-10-23T15:30:15.748000Z,2022-10-23T15:39:16.595000Z,,2022-10-23T15:39:17.018672Z,541,5A34BA6B,1570,40,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555e098d5c2c8f6a760e01,61082ddbd1479af6c6eb556c,AWAITING REVIEW,2022-10-23T15:30:23.046000Z,2022-10-23T15:34:29.358000Z,,2022-10-23T15:34:29.733191Z,247,5A34BA6B,721,26,Female,White,United States,United States,United States,English,No,Full-Time
63555e18adb80dbeb8455067,633e6b656e1b192c994fa479,AWAITING REVIEW,2022-10-23T15:30:36.568000Z,2022-10-23T15:39:21.844000Z,,2022-10-23T15:39:22.244764Z,526,5A34BA6B,53,38,Male,White,United States,United States,United States,English,No,Full-Time
63555e2e096dd0bffe760de0,6321d0f3fb699b9210202273,AWAITING REVIEW,2022-10-23T15:30:57.446000Z,2022-10-23T15:39:17.113000Z,,2022-10-23T15:39:17.467200Z,500,5A34BA6B,132,34,Male,White,United States,United States,United States,English,No,Full-Time
63555e60618dfa088a603c95,5f42f722bb802e537cd8b385,AWAITING REVIEW,2022-10-23T15:31:49.960000Z,2022-10-23T15:41:04.524000Z,,2022-10-23T15:41:04.869750Z,555,5A34BA6B,1521,49,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555e9295ba4f89defa8b09,58a5d58bb2a7180001f061d4,AWAITING REVIEW,2022-10-23T15:32:38.393000Z,2022-10-23T15:37:51.500000Z,,2022-10-23T15:37:52.004237Z,314,5A34BA6B,1614,37,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555e94b11130a94af0b47d,5de9c13ae5dd1c0f1de56ad6,AWAITING REVIEW,2022-10-23T15:32:38.390000Z,2022-10-23T15:33:27.497000Z,,2022-10-23T15:33:27.898206Z,50,5A34BA6B,1356,41,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555e9776ec6f79f35a1059,614f63ad708f74237c5bbdb5,AWAITING REVIEW,2022-10-23T15:32:42.650000Z,2022-10-23T15:41:00.072000Z,,2022-10-23T15:41:00.487827Z,498,5A34BA6B,1140,66,Male,White,United States,United States,United States,English,No,Part-Time
63555ebd26d35dd98e8644f0,5d498ea0faa15b001acd4a5d,AWAITING REVIEW,2022-10-23T15:33:20.890000Z,2022-10-23T15:42:04.279000Z,,2022-10-23T15:42:04.815030Z,524,5A34BA6B,2289,72,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555ed4c5c25b03386786c6,60ddc7abdf6661b9c294691f,RETURNED,2022-10-23T15:33:45.055000Z,2022-10-23T15:41:28.582000Z,,2022-10-23T15:41:28.932000Z,,5A34BA6B,718,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63555edf84e61fac21fcf47c,5fc6df58f380620a09116434,AWAITING REVIEW,2022-10-23T15:33:58.418000Z,2022-10-23T15:39:28.882000Z,,2022-10-23T15:39:29.305665Z,331,5A34BA6B,1107,22,Female,White,United States,United States,United States,English,No,Full-Time
63555ee7c17af750a8e33a25,60b7f6030152011ff5ab8197,AWAITING REVIEW,2022-10-23T15:34:02.524000Z,2022-10-23T15:38:14.642000Z,,2022-10-23T15:38:14.975869Z,253,5A34BA6B,850,40,Male,Mixed,United States,United States,United States,English,No,Full-Time
63555ef228e2c259bf73c8ed,5bcbde9d08a62c0001f86bd0,AWAITING REVIEW,2022-10-23T15:34:13.674000Z,2022-10-23T15:41:07.095000Z,,2022-10-23T15:41:07.503039Z,414,5A34BA6B,2803,40,Male,White,United States,United States,United States,English,No,Full-Time
63555f13df6fb3654c05f295,5c0fcccc1f6f150001487111,AWAITING REVIEW,2022-10-23T15:35:29.497000Z,2022-10-23T15:38:02.814000Z,,2022-10-23T15:38:03.406005Z,154,5A34BA6B,3612,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555f27b5090d4f13388ac6,614e8713ba7000ac40031538,AWAITING REVIEW,2022-10-23T15:35:06.860000Z,2022-10-23T15:45:46.501000Z,,2022-10-23T15:45:46.838826Z,640,5A34BA6B,1693,48,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555f70745ec3c7206786e2,5eb44aa8de8a2a291bd522df,AWAITING REVIEW,2022-10-23T15:36:26.702000Z,2022-10-23T15:42:26.788000Z,,2022-10-23T15:42:27.118669Z,361,5A34BA6B,2014,DATA_EXPIRED,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555f76cce474599ec8f98e,60fab1b96bd45f60d1b053dc,AWAITING REVIEW,2022-10-23T15:36:27.184000Z,2022-10-23T15:45:34.943000Z,,2022-10-23T15:45:35.312007Z,548,5A34BA6B,1686,60,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555f7bf26b15af4a05f294,5d3a10f0708b4f0001aa2513,AWAITING REVIEW,2022-10-23T15:36:36.251000Z,2022-10-23T15:40:24.798000Z,,2022-10-23T15:40:25.168505Z,229,5A34BA6B,811,25,Male,White,United States,United States,United States,English,No,Full-Time
63555f816288fa1bb370f138,610acf4854e2d5c802d22419,AWAITING REVIEW,2022-10-23T15:36:36.171000Z,2022-10-23T15:46:05.310000Z,,2022-10-23T15:46:05.716208Z,570,5A34BA6B,206,33,Female,White,United States,United States,United States,English,No,Full-Time
63555f90180118fe1535570d,5858b2ca83a02d0001e38fd2,AWAITING REVIEW,2022-10-23T15:36:51.318000Z,2022-10-23T15:42:04.703000Z,,2022-10-23T15:42:05.075917Z,314,5A34BA6B,2241,44,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555faf4fb757d9f3e4f7c4,614edc6369c8c812dc63445a,AWAITING REVIEW,2022-10-23T15:37:25.600000Z,2022-10-23T15:49:15.782000Z,,2022-10-23T15:49:16.195726Z,711,5A34BA6B,224,47,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63555fbae1f005626bc8f9b3,558833f7fdf99b3a56b47f38,AWAITING REVIEW,2022-10-23T15:37:32.567000Z,2022-10-23T15:39:50.606000Z,,2022-10-23T15:39:51.003708Z,139,5A34BA6B,2044,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
63555fbdeb2056db139741cb,5f985161f2aa230f6d4eb858,AWAITING REVIEW,2022-10-23T15:37:37.871000Z,2022-10-23T15:44:30.240000Z,,2022-10-23T15:44:30.653091Z,413,5A34BA6B,2060,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63555ff40899095da8e4f7b3,62eab49b3494af2a6cb7348d,AWAITING REVIEW,2022-10-23T15:38:35.630000Z,2022-10-23T15:57:22.315000Z,,2022-10-23T15:57:22.862960Z,1127,5A34BA6B,174,50,Male,White,United States,United States,United States,English,No,Part-Time
63555ffe0e00c15375c9bd6b,5f358e4057ebc5583b34b4d7,AWAITING REVIEW,2022-10-23T15:38:41.367000Z,2022-10-23T15:44:19.025000Z,,2022-10-23T15:44:19.380418Z,338,5A34BA6B,795,20,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6355600c9a1106cb5c84902a,62a204a8688e68adb5e3769d,AWAITING REVIEW,2022-10-23T15:38:55.243000Z,2022-10-23T15:46:44.113000Z,,2022-10-23T15:46:44.489056Z,469,5A34BA6B,177,29,Female,White,United States,United States,United States,English,No,Full-Time
